"Item";"Ciclos";"Paquetes enviados";"Paquetes recibidos";"Tasa envio (flits/nodo/ciclo)";"Tasa recepcion (flits/nodo/ciclo)";"Latencia Cabecera";"Latencia Cabecera (sin bloqueos)";"Latencia Paquete";"Latencia Paquete (sin bloqueos)";"Ciclos de Bloqueo";"Camino Medio (nodos)"
1;9870840;5100;5100;0,001013291216;0,001013085006;10,07820000;10,04540000;41,07820000;41,04540000;0,03280000000;3,681800000
2;177343;5100;5100;0,05641317774;0,05638790367;11,58060000;9,949400000;42,58060000;40,94940000;1,631200000;3,649800000
3;89279;5103;5100;0,1120992854;0,1120084230;13,97580000;10,10600000;44,97580000;41,10600000;3,869800000;3,702000000
4;59483;5105;5100;0,1683368081;0,1681152598;16,43560000;10,03820000;47,43560000;41,03820000;6,397400000;3,679400000
5;44937;5105;5100;0,2228305624;0,2225337695;19,35720000;10,02140000;50,35720000;41,02140000;9,335800000;3,673800000
6;36270;5110;5100;0,2763012792;0,2757099531;23,19220000;10,04360000;54,19220000;41,04360000;13,14860000;3,681200000
7;29554;5110;5100;0,3391080734;0,3383636733;29,31120000;9,938000000;60,31120000;40,93800000;19,37320000;3,646000000
8;25783;5112;5100;0,3888608773;0,3878524609;33,98120000;9,930800000;64,98120000;40,93080000;24,05040000;3,643600000
9;22993;5120;5100;0,4367416170;0,4349149741;47,60560000;10,00160000;78,60560000;41,00160000;37,60400000;3,667200000
10;21827;5117;5100;0,4597974985;0,4581481651;47,40680000;9,986600000;78,40680000;40,98660000;37,42020000;3,662200000
